series,date,gdp,gni,gdp_capita,gni_capita
growth_yoy,1/1/2008,4.81,2.38,2.87,0.488
growth_yoy,1/1/2009,-1.64,0.63,-3.434,-1.21
growth_yoy,1/1/2010,7.19,3.90,5.292,2.057
growth_yoy,1/1/2011,5.29,5.50,3.578,3.782
growth_yoy,1/1/2012,5.47,3.90,3.874,2.328
growth_yoy,1/1/2013,4.69,5.15,2.255,2.701
growth_yoy,1/1/2014,6.01,6.09,4.299,4.38
growth_yoy,1/1/2015,5.09,6.90,3.48,5.261
growth_yoy,1/1/2016,4.45,4.80,2.973,3.316
growth_yoy,1/1/2017,5.81,5.81,4.526,4.526
growth_yoy,1/1/2018,4.84,4.16,3.68,3.006
growth_yoy,1/1/2019,4.41,5.02,3.961,4.567
growth_yoy,1/1/2020,-5.46,-4.97,-5.237,-4.746
growth_yoy,1/1/2021,3.32,2.82,2.907,2.412
growth_yoy,1/1/2022,8.86,8.32,8.456,7.919
growth_yoy,1/1/2023,3.56,3.98,1.374,1.788
growth_yoy,1/1/2024,5.11,4.75,3.087,2.727
